TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2026-01-06,2026-01-06,CM,MSE,STK,,,1STCUS,EQ,,,,,,0.00,0.00,0.00,83.15,0.00,81.20,,83.15,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,20MICRONS,EQ,,,,,,0.00,0.00,0.00,205.20,0.00,209.15,,205.20,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,21STCENMGM,EQ,,,,,,0.00,0.00,0.00,49.50,0.00,49.60,,49.50,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,360ONE,EQ,,,,,,0.00,0.00,0.00,1187.00,0.00,1199.00,,1187.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,3BBLACKBIO,EQ,,,,,,0.00,0.00,0.00,1482.75,0.00,1432.60,,1482.75,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,3IINFOLTD,EQ,,,,,,0.00,0.00,0.00,16.50,0.00,16.65,,16.50,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,3MINDIA,EQ,,,,,,0.00,0.00,0.00,35020.00,0.00,36385.00,,35020.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,3PLAND,EQ,,,,,,0.00,0.00,0.00,37.05,0.00,37.15,,37.05,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,5PAISA,EQ,,,,,,0.00,0.00,0.00,387.95,0.00,375.60,,387.95,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,63MOONS,EQ,,,,,,0.00,0.00,0.00,713.75,0.00,720.10,,713.75,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,A2ZINFRA,EQ,,,,,,0.00,0.00,0.00,15.05,0.00,14.95,,15.05,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,AAATECH,BE,,,,,,0.00,0.00,0.00,93.35,0.00,93.60,,93.35,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,AADHARHFC,EQ,,,,,,0.00,0.00,0.00,499.70,0.00,503.25,,499.70,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,AAIL,EQ,,,,,,0.00,0.00,0.00,119.00,0.00,121.00,,119.00,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,AAKASH,EQ,,,,,,0.00,0.00,0.00,8.80,0.00,8.65,,8.80,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,AAREYDRUGS,EQ,,,,,,0.00,0.00,0.00,66.35,0.00,68.05,,66.35,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,AARON,EQ,,,,,,0.00,0.00,0.00,170.50,0.00,175.30,,170.50,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,AARTECH,EQ,,,,,,0.00,0.00,0.00,54.60,0.00,52.90,,54.60,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,AARTIDRUGS,EQ,,,,,,0.00,0.00,0.00,405.75,0.00,404.95,,405.75,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,AARTIIND,EQ,,,,,,0.00,0.00,0.00,375.05,0.00,372.70,,375.05,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,AARTIPHARM,EQ,,,,,,0.00,0.00,0.00,736.90,0.00,730.65,,736.90,,,0,0.00,0,F1,1,,,,,
2026-01-06,2026-01-06,CM,MSE,STK,,,AARTISURF,EQ,,,,,,0.00,0.00,0.00,383.50,0.00,387.10,,383.50,,,0,0.00,0,F1,1,,,,,
