ZANSKAR_ID,TOKEN,CATEGORY,EXCH_TICKER,ZANSKAR_NAME,DERIVATIVE_TYPE,EXPIRY_DATE,EXPIRY_EXCHANGE,EXPIRY_TAG,UNDERLYING_ASSET,STREAM_ID,STRIKE_PRICE,LOT_SIZE,TICK_SIZE,PREV_HIGH_PRICE_RANGE,PREV_LOW_PRICE_RANGE,PREV_HIGH,PREV_LOW,PREV_CLOSE,PREV_LAST,PREV_SETTLEMENT,PREV_OPEN_INTEREST,UNDERLYING_PREV_CLOSE,ISIN,SERIES
0,101586,STOCKS,20MICRONS,STOCK_20MICRONS_MSE.CM.EQ,STOCK,N/A,0,N/A,20MICRONS,1,,1,5,30000.0,20000.0,0.0,0.0,188.1,0.0,188.1,0,188.35,INE144J01027,EQ
1,110021,STOCKS,20MICRONS,STOCK_20MICRONS_MSE.CM.BE,STOCK,N/A,0,N/A,20MICRONS,1,,1,5,28235.0,18825.0,0.0,0.0,188.1,0.0,188.1,0,188.35,INE144J01027,BE
2,101618,STOCKS,ACC,STOCK_ACC_MSE.CM.EQ,STOCK,N/A,0,N/A,ACC,1,,1,5,187000.0,153000.0,0.0,0.0,1778.9,0.0,1778.9,0,1782.3,INE012A01025,EQ
3,101587,STOCKS,3MINDIA,STOCK_3MINDIA_MSE.CM.EQ,STOCK,N/A,0,N/A,3MINDIA,1,,1,5,3613200.0,2408800.0,0.0,0.0,34480.0,0.0,34480.0,0,34585.0,INE470A01017,EQ
4,101590,STOCKS,A2ZINFRA,STOCK_A2ZINFRA_MSE.CM.EQ,STOCK,N/A,0,N/A,A2ZINFRA,1,,1,5,1825.0,1655.0,0.0,0.0,14.95,0.0,14.95,0,14.9,INE619I01012,EQ
5,103404,STOCKS,A2ZINFRA,STOCK_A2ZINFRA_MSE.CM.BE,STOCK,N/A,0,N/A,A2ZINFRA,1,,1,5,1685.0,1525.0,0.0,0.0,14.95,0.0,14.95,0,14.9,INE619I01012,BE
6,101595,STOCKS,AARTIIND,STOCK_AARTIIND_MSE.CM.EQ,STOCK,N/A,0,N/A,AARTIIND,1,,1,5,55000.0,45000.0,0.0,0.0,357.0,0.0,357.0,0,353.8,INE769A01020,EQ
7,107993,STOCKS,AARTIIND,STOCK_AARTIIND_MSE.CM.BE,STOCK,N/A,0,N/A,AARTIIND,1,,1,5,198135.0,162115.0,0.0,0.0,357.0,0.0,357.0,0,353.8,INE769A01020,BE
8,101598,STOCKS,VGL,STOCK_VGL_MSE.CM.EQ,STOCK,N/A,0,N/A,VGL,1,,1,5,3995.0,3615.0,0.0,0.0,147.6,0.0,147.6,0,148.3,INE273D01019,EQ
9,107298,STOCKS,VGL,STOCK_VGL_MSE.CM.BE,STOCK,N/A,0,N/A,VGL,1,,1,5,14420.0,13050.0,0.0,0.0,147.6,0.0,147.6,0,148.3,INE273D01019,BE
