ZANSKAR_ID,TOKEN,CATEGORY,EXCH_TICKER,ZANSKAR_NAME,DERIVATIVE_TYPE,EXPIRY_DATE,EXPIRY_EXCHANGE,EXPIRY_TAG,UNDERLYING_ASSET,STREAM_ID,STRIKE_PRICE,LOT_SIZE,TICK_SIZE,PREV_HIGH_PRICE_RANGE,PREV_LOW_PRICE_RANGE,PREV_HIGH,PREV_LOW,PREV_CLOSE,PREV_LAST,PREV_SETTLEMENT,PREV_OPEN_INTEREST,UNDERLYING_PREV_CLOSE,ISIN,SERIES
0,110021,STOCKS,20MICRONS,STOCK_20MICRONS_MSE.CM.BE,STOCK,N/A,0,N/A,20MICRONS,1,,1,5,28235.0,18825.0,0.0,0.0,209.15,0.0,209.15,0,214.3,INE144J01027,BE
1,101586,STOCKS,20MICRONS,STOCK_20MICRONS_MSE.CM.EQ,STOCK,N/A,0,N/A,20MICRONS,1,,1,5,14400.0,9600.0,0.0,0.0,209.15,0.0,209.15,0,214.3,INE144J01027,EQ
2,101618,STOCKS,ACC,STOCK_ACC_MSE.CM.EQ,STOCK,N/A,0,N/A,ACC,1,,1,5,165000.0,135000.0,0.0,0.0,1771.6,0.0,1771.6,0,1748.8,INE012A01025,EQ
3,101587,STOCKS,3MINDIA,STOCK_3MINDIA_MSE.CM.EQ,STOCK,N/A,0,N/A,3MINDIA,1,,1,5,2412910.0,1608610.0,0.0,0.0,36385.0,0.0,36385.0,0,36170.0,INE470A01017,EQ
4,103404,STOCKS,A2ZINFRA,STOCK_A2ZINFRA_MSE.CM.BE,STOCK,N/A,0,N/A,A2ZINFRA,1,,1,5,1685.0,1525.0,0.0,0.0,14.95,0.0,14.95,0,15.6,INE619I01012,BE
5,101590,STOCKS,A2ZINFRA,STOCK_A2ZINFRA_MSE.CM.EQ,STOCK,N/A,0,N/A,A2ZINFRA,1,,1,5,1900.0,1720.0,0.0,0.0,14.95,0.0,14.95,0,15.6,INE619I01012,EQ
6,107993,STOCKS,AARTIIND,STOCK_AARTIIND_MSE.CM.BE,STOCK,N/A,0,N/A,AARTIIND,1,,1,5,198135.0,162115.0,0.0,0.0,372.7,0.0,372.7,0,376.95,INE769A01020,BE
7,101595,STOCKS,AARTIIND,STOCK_AARTIIND_MSE.CM.EQ,STOCK,N/A,0,N/A,AARTIIND,1,,1,5,55000.0,45000.0,0.0,0.0,372.7,0.0,372.7,0,376.95,INE769A01020,EQ
8,107945,STOCKS,ABAN,STOCK_ABAN_MSE.CM.BE,STOCK,N/A,0,N/A,ABAN,1,,1,5,4325.0,3915.0,0.0,0.0,18.9,0.0,18.9,0,19.85,INE421A01028,BE
9,101599,STOCKS,ABAN,STOCK_ABAN_MSE.CM.EQ,STOCK,N/A,0,N/A,ABAN,1,,1,5,4515.0,4085.0,0.0,0.0,18.9,0.0,18.9,0,19.85,INE421A01028,EQ
10,108190,STOCKS,ABB,STOCK_ABB_MSE.CM.BE,STOCK,N/A,0,N/A,ABB,1,,1,5,142360.0,116480.0,0.0,0.0,5168.5,0.0,5168.5,0,5205.5,INE117A01022,BE
11,101603,STOCKS,ABB,STOCK_ABB_MSE.CM.EQ,STOCK,N/A,0,N/A,ABB,1,,1,5,440000.0,360000.0,0.0,0.0,5168.5,0.0,5168.5,0,5205.5,INE117A01022,EQ
12,101605,STOCKS,ABBOTINDIA,STOCK_ABBOTINDIA_MSE.CM.EQ,STOCK,N/A,0,N/A,ABBOTINDIA,1,,1,5,3000000.0,2000000.0,0.0,0.0,28155.0,0.0,28155.0,0,28125.0,INE358A01014,EQ
13,104748,STOCKS,ACE,STOCK_ACE_MSE.CM.BE,STOCK,N/A,0,N/A,ACE,1,,1,5,3650.0,2440.0,0.0,0.0,952.45,0.0,952.45,0,976.8,INE731H01025,BE
14,101620,STOCKS,ACE,STOCK_ACE_MSE.CM.EQ,STOCK,N/A,0,N/A,ACE,1,,1,5,180000.0,120000.0,0.0,0.0,952.45,0.0,952.45,0,976.8,INE731H01025,EQ
15,101627,STOCKS,ADANIENT,STOCK_ADANIENT_MSE.CM.EQ,STOCK,N/A,0,N/A,ADANIENT,1,,1,5,143055.0,117045.0,0.0,0.0,2279.5,0.0,2279.5,0,2279.8,INE423A01024,EQ
16,101629,STOCKS,ADANIPORTS,STOCK_ADANIPORTS_MSE.CM.EQ,STOCK,N/A,0,N/A,ADANIPORTS,1,,1,5,154000.0,126000.0,0.0,0.0,1493.0,0.0,1493.0,0,1489.5,INE742F01042,EQ
17,108355,STOCKS,ADANIPOWER,STOCK_ADANIPOWER_MSE.CM.BE,STOCK,N/A,0,N/A,ADANIPOWER,1,,1,5,63645.0,42435.0,0.0,0.0,146.2,0.0,146.2,0,148.15,INE814H01011,BE
18,101631,STOCKS,ADANIPOWER,STOCK_ADANIPOWER_MSE.CM.EQ,STOCK,N/A,0,N/A,ADANIPOWER,1,,1,5,48000.0,32000.0,0.0,0.0,146.2,0.0,146.2,0,148.15,INE814H01011,EQ
19,101634,STOCKS,ADFFOODS,STOCK_ADFFOODS_MSE.CM.EQ,STOCK,N/A,0,N/A,ADFFOODS,1,,1,5,24000.0,16000.0,0.0,0.0,204.05,0.0,204.05,0,204.1,INE982B01027,EQ
