Symbol,Underlying,Type,Strike,Expiry,Reason
OPT_SUNPHARMA_20260224_PE_248000,SUNPHARMA,OPT_PE,248000,20260224,Zero position & not in today refdata
OPT_COALINDIA_20260224_CE_23000,COALINDIA,OPT_CE,23000,20260224,Zero position & not in today refdata
OPT_LT_20260224_CE_306000,LT,OPT_CE,306000,20260224,Zero position & not in today refdata
OPT_M&M_20260224_PE_465000,M&M,OPT_PE,465000,20260224,Zero position & not in today refdata
OPT_KOTAKBANK_20260224_CE_39600,KOTAKBANK,OPT_CE,39600,20260224,Zero position & not in today refdata
OPT_ICICIBANK_20260224_PE_177000,ICICIBANK,OPT_PE,177000,20260224,Zero position & not in today refdata
OPT_TATASTEEL_20260224_CE_14500,TATASTEEL,OPT_CE,14500,20260224,Zero position & not in today refdata
OPT_TATASTEEL_20260224_CE_15100,TATASTEEL,OPT_CE,15100,20260224,Zero position & not in today refdata
OPT_SBILIFE_20260224_PE_304000,SBILIFE,OPT_PE,304000,20260224,Zero position & not in today refdata
OPT_INDUSINDBK_20260224_CE_128000,INDUSINDBK,OPT_CE,128000,20260224,Zero position & not in today refdata
OPT_ONGC_20260224_PE_16800,ONGC,OPT_PE,16800,20260224,Zero position & not in today refdata
OPT_TATACONSUM_20260224_CE_153000,TATACONSUM,OPT_CE,153000,20260224,Zero position & not in today refdata
OPT_TRENT_20260224_CE_610000,TRENT,OPT_CE,610000,20260224,Zero position & not in today refdata
OPT_BHARTIARTL_20260224_PE_270000,BHARTIARTL,OPT_PE,270000,20260224,Zero position & not in today refdata
OPT_SBIN_20260224_PE_85500,SBIN,OPT_PE,85500,20260224,Zero position & not in today refdata
OPT_EICHERMOT_20260224_CE_1080000,EICHERMOT,OPT_CE,1080000,20260224,Zero position & not in today refdata
OPT_RELIANCE_20260224_PE_232000,RELIANCE,OPT_PE,232000,20260224,Zero position & not in today refdata
OPT_SHRIRAMFIN_20260224_CE_71000,SHRIRAMFIN,OPT_CE,71000,20260224,Zero position & not in today refdata
OPT_EICHERMOT_20260224_PE_1060000,EICHERMOT,OPT_PE,1060000,20260224,Zero position & not in today refdata
OPT_SBIN_20260224_CE_66000,SBIN,OPT_CE,66000,20260224,Zero position & not in today refdata
OPT_ULTRACEMCO_20260224_CE_660000,ULTRACEMCO,OPT_CE,660000,20260224,Zero position & not in today refdata
OPT_MARUTI_20260224_PE_2420000,MARUTI,OPT_PE,2420000,20260224,Zero position & not in today refdata
OPT_LT_20260224_CE_544000,LT,OPT_CE,544000,20260224,Zero position & not in today refdata
OPT_M&M_20260224_CE_530000,M&M,OPT_CE,530000,20260224,Zero position & not in today refdata
OPT_WIPRO_20260224_CE_21150,WIPRO,OPT_CE,21150,20260224,Zero position & not in today refdata
OPT_COALINDIA_20260224_CE_33750,COALINDIA,OPT_CE,33750,20260224,Zero position & not in today refdata
OPT_HDFCLIFE_20260224_CE_101000,HDFCLIFE,OPT_CE,101000,20260224,Zero position & not in today refdata
OPT_TITAN_20260224_PE_572000,TITAN,OPT_PE,572000,20260224,Zero position & not in today refdata
OPT_ONGC_20260224_CE_16400,ONGC,OPT_CE,16400,20260224,Zero position & not in today refdata
OPT_RELIANCE_20260224_CE_189000,RELIANCE,OPT_CE,189000,20260224,Zero position & not in today refdata
OPT_SUNPHARMA_20260224_CE_240000,SUNPHARMA,OPT_CE,240000,20260224,Zero position & not in today refdata
OPT_WIPRO_20260224_CE_20900,WIPRO,OPT_CE,20900,20260224,Zero position & not in today refdata
OPT_HINDUNILVR_20260224_PE_352000,HINDUNILVR,OPT_PE,352000,20260224,Zero position & not in today refdata
OPT_AXISBANK_20260224_CE_93000,AXISBANK,OPT_CE,93000,20260224,Zero position & not in today refdata
OPT_HDFCLIFE_20260224_PE_101000,HDFCLIFE,OPT_PE,101000,20260224,Zero position & not in today refdata
OPT_TATACONSUM_20260224_CE_155000,TATACONSUM,OPT_CE,155000,20260224,Zero position & not in today refdata
OPT_RELIANCE_20260224_PE_183000,RELIANCE,OPT_PE,183000,20260224,Zero position & not in today refdata
OPT_RELIANCE_20260224_CE_195000,RELIANCE,OPT_CE,195000,20260224,Zero position & not in today refdata
OPT_ITC_20260224_PE_45750,ITC,OPT_PE,45750,20260224,Zero position & not in today refdata
OPT_JSWSTEEL_20260224_PE_85000,JSWSTEEL,OPT_PE,85000,20260224,Zero position & not in today refdata
OPT_INDUSINDBK_20260224_PE_121000,INDUSINDBK,OPT_PE,121000,20260224,Zero position & not in today refdata
OPT_MARUTI_20260224_PE_2280000,MARUTI,OPT_PE,2280000,20260224,Zero position & not in today refdata
OPT_TCS_20260224_PE_472000,TCS,OPT_PE,472000,20260224,Zero position & not in today refdata
OPT_MARUTI_20260224_PE_2090000,MARUTI,OPT_PE,2090000,20260224,Zero position & not in today refdata
OPT_ASIANPAINT_20260224_CE_396000,ASIANPAINT,OPT_CE,396000,20260224,Zero position & not in today refdata
OPT_HEROMOTOCO_20260224_CE_870000,HEROMOTOCO,OPT_CE,870000,20260224,Zero position & not in today refdata
OPT_ASIANPAINT_20260224_CE_354000,ASIANPAINT,OPT_CE,354000,20260224,Zero position & not in today refdata
OPT_HINDALCO_20260224_PE_62000,HINDALCO,OPT_PE,62000,20260224,Zero position & not in today refdata
OPT_ULTRACEMCO_20260224_CE_640000,ULTRACEMCO,OPT_CE,640000,20260224,Zero position & not in today refdata
OPT_WIPRO_20260224_CE_19900,WIPRO,OPT_CE,19900,20260224,Zero position & not in today refdata
OPT_HDFCBANK_20260224_PE_132000,HDFCBANK,OPT_PE,132000,20260224,Zero position & not in today refdata
OPT_TITAN_20260224_CE_548000,TITAN,OPT_CE,548000,20260224,Zero position & not in today refdata
OPT_KOTAKBANK_20260224_PE_46400,KOTAKBANK,OPT_PE,46400,20260224,Zero position & not in today refdata
OPT_POWERGRID_20260224_CE_17250,POWERGRID,OPT_CE,17250,20260224,Zero position & not in today refdata
OPT_SUNPHARMA_20260224_PE_246000,SUNPHARMA,OPT_PE,246000,20260224,Zero position & not in today refdata
OPT_JIOFIN_20260224_PE_41000,JIOFIN,OPT_PE,41000,20260224,Zero position & not in today refdata
OPT_CIPLA_20260224_CE_179000,CIPLA,OPT_CE,179000,20260224,Zero position & not in today refdata
OPT_ULTRACEMCO_20260224_PE_830000,ULTRACEMCO,OPT_PE,830000,20260224,Zero position & not in today refdata
OPT_SBIN_20260224_CE_62000,SBIN,OPT_CE,62000,20260224,Zero position & not in today refdata
OPT_RELIANCE_20260224_PE_214000,RELIANCE,OPT_PE,214000,20260224,Zero position & not in today refdata
OPT_LT_20260224_PE_306000,LT,OPT_PE,306000,20260224,Zero position & not in today refdata
OPT_WIPRO_20260224_CE_29900,WIPRO,OPT_CE,29900,20260224,Zero position & not in today refdata
OPT_ONGC_20260224_CE_19900,ONGC,OPT_CE,19900,20260224,Zero position & not in today refdata
OPT_TATASTEEL_20260224_PE_15300,TATASTEEL,OPT_PE,15300,20260224,Zero position & not in today refdata
OPT_COALINDIA_20260224_PE_31750,COALINDIA,OPT_PE,31750,20260224,Zero position & not in today refdata
OPT_CIPLA_20260224_PE_220000,CIPLA,OPT_PE,220000,20260224,Zero position & not in today refdata
OPT_ADANIENT_20260224_CE_328000,ADANIENT,OPT_CE,328000,20260224,Zero position & not in today refdata
OPT_ITC_20260224_PE_42750,ITC,OPT_PE,42750,20260224,Zero position & not in today refdata
OPT_HDFCBANK_20260224_PE_113500,HDFCBANK,OPT_PE,113500,20260224,Zero position & not in today refdata
OPT_ADANIENT_20260224_PE_328000,ADANIENT,OPT_PE,328000,20260224,Zero position & not in today refdata
OPT_ASIANPAINT_20260224_PE_396000,ASIANPAINT,OPT_PE,396000,20260224,Zero position & not in today refdata
OPT_LT_20260224_CE_560000,LT,OPT_CE,560000,20260224,Zero position & not in today refdata
OPT_ITC_20260224_CE_51500,ITC,OPT_CE,51500,20260224,Zero position & not in today refdata
OPT_TITAN_20260224_CE_556000,TITAN,OPT_CE,556000,20260224,Zero position & not in today refdata
OPT_HDFCBANK_20260224_PE_136000,HDFCBANK,OPT_PE,136000,20260224,Zero position & not in today refdata
OPT_DRREDDY_20260224_CE_56000,DRREDDY,OPT_CE,56000,20260224,Zero position & not in today refdata
OPT_JSWSTEEL_20260224_CE_83000,JSWSTEEL,OPT_CE,83000,20260224,Zero position & not in today refdata
